content,dealy,client,total op,union,split,time(u)(ms),time(s)(ms),mem(server+n clients),ot calls(server),max_ot,max_duration(ms),remark,Delay(47.100.34.153),Delay(47.99.201.21)
"22,30/47,80/225,890/12,34",,6,600,307,293,19,19,9.53m+2.9m+2.94m+2.66m+3.53m+2.34m+2.71m,,,,,,
,,6,1200,620,580,424,434,42.18m+9.55m+9.5m+9.28m+9.84m+7.87m+9.37m,1102,,,,,
,,6,1800,900,900,490,498,142.82m+30.57m+29.72m+29.48m+26.76m+27.86m+30.77,,,,,,
,,6,2400,1217,1183,924,891,262.1+52.25+54.27+53.02+51.74+54.07+51.24,,,,,,
,,6,3000,1865,1735,2086,2091,605.08+122.45+120.41+118.01+121.14+115.02+125.24,3576,554,9277,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.2+4..45,8,600,303,297,52.7,49.9,16.26+4.68+3.53+3.38+3.85+2.88+2.92+2.97+3.21,583,413,1096,,,
,4.45+4.45,8,600,293,307,50.2,53.3,16.05+3.86+4.1+4.04+4.03+2.71+2.78+2.78+2.85,594,421,1064,,,
,,,,,,,,,,,,,,
,,6,1200,578,622,210.25,224.56,61.19M+13.26M+14.18M+13.06M+12.5M+12.23M+13.12M,,,,,,
,,6,1200,608,592,207.13,206.42,61.16M+13.73M+13.97M+13.79M+11.89M+11.98M+12.96M,,,,,,
,,6,1800,917,883,477.49,482.38,142.81M+32.42M+30.2M+30.02M+27.94M+25.95M+28.6M,,,,,,
,,6,600,315,285,39.84,39.3,21.35M+3.71M+2.75M+6.38M+5.06M+3.92M+3.88M,,,,,,
,,,,,,,,,,,,,,
,,6,2400,1198,1202,908.12,824.1,263.48M+54.53M+53.41M+51.75M+52.7M+52.28M+53.4M,2376,1737,3958,,,
,,,,,,,,,,,,,,
,,8,6000,3064,2936,30.16,29.85,1.85G+273.2M+258.7M+277.2M+279.56M+295.09M+261.45M+283.61M+323.57M,5202,4898,258.48,,,
,,,,,,,,,,,,,,
,,6,6000,3036,2964,32,31.02,1.61G+303.77M+315.03M+336.89M+332.2M+317.77M+351.45M,5934,4252,271.04,,,
,,6,6000,3600,2400,39.71,23.93,1.73G+299.05M+407.74M+345.52M+336.28M+306.65M+402.39M,,,,,,
,,,,,,,,,,,,,,
,,6,2400,1162,1238,5.12,5.06,239.71M+44.97M+44.97M+48.34M+56.71M+52.81M+41.73M,2314,1668,38.93,,,
,,6,2400,1440,960,6.77,3.7,264.94M+65.34M+47.73M+50.34M+51.31M+51.61M+53.84M,2366,1770,49.55,,,
,,6,2400,960,1440,4.07,6.84,264.57M+55.14M+58.91M+46.57M+51.66M+60.23M+47.21M,2365,1779,41.24,,,
,,6,2400,960,1440,3.77,6.53,262.18M+52.36M+61.4M+54.23M+54.12M+45.53M+49.09M,2386,1736,39.74,,,
,,,,,,,,,,,,,,
,,6,6000,3060,2940,34.95,33.98,1.71G+356.91M+331.77M+384.99M+310.91M+319.76M+378.09M,5981,4610,296.98, 47.100.34.153(+6.6ms),9.07,8.97
,,6,6000,3009,2991,32.28,30.78,1.71G+394.16M+331.05M+382.88M+341.82M+321.51M+302.89M,5981,4511,231.35,,9.07,8.97
,,,,,,,,,,,,,,
"the same delay, different percents of union(execute according to workload file)",,,,,,,,,,,,,,
,,6,2400,1440,960,6.69,3.55,263.6M+47.59M+55.56M+60.91M+47.34M+47.77M+59.39M,2383,1753,45.22,,2.3,8.97
,,6,2400,720,1680,2.45,6.65,262.2M+55.85M+46.11M+63.75M+49.06M+52.07M+50.19M,2370,1763,55.16,,,
,,6,2400,1680,720,6.71,2.39,260.75M+55.63M+51.9M+53.18M+47.64M+41.82M+65.12M ,2373,1741,42.93,,2.3,8.97
,,,,,,,,,,,,,,
,,6,2400,1680,720,6.71,2.39,260.75M+55.63M+51.9M+53.18M+47.64M+41.82M+65.12M ,2373,1741,42.93,,2.3,8.97
,,6,2400,1680,720,6.93,2.38,261.53M+58.92M+56.25M+54.41M+46.38M+47.27M+52.91M ,2386,1704,42.47, 47.100.34.153(+6.5ms),8.8,8.97
,,6,2400,1680,720,6.83,2.4,257.02M+59.57M+55.89M+55.01M+48.02M+43.42M+48.74M ,2389,1709,41.37, 47.100.34.153(+8ms),10.3,8.97
,,6,2400,1680,720,6.54,2.46,256.23M+58.39M+57.23M+58.5M+48.08M+42.16M+45.24M ,2388,1594,36.16, 47.100.34.153(+12ms),14.3,8.97
